GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GitHub API for Java,org.kohsuke.github.extras.okhttp3,ObsoleteUrlFactory.OkHttpURLConnection.NetworkInterceptor,12,99,1,3,4,24,1,4,0,3
GitHub API for Java,org.kohsuke.github.internal,EnumUtils,0,43,0,2,0,9,0,4,0,3
GitHub API for Java,org.kohsuke.github.internal,Previews,0,191,0,0,0,21,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHRepositorySelection,5,24,0,0,1,2,1,1,1,1
GitHub API for Java,org.kohsuke.github,GHOrganization,267,563,13,9,48,86,23,33,16,29
GitHub API for Java,org.kohsuke.github,GHHooks,3,13,0,0,1,2,1,2,1,2
GitHub API for Java,org.kohsuke.github,GHCommit,17,327,5,11,4,63,7,31,2,28
GitHub API for Java,org.kohsuke.github,GHLabelChanges.GHFrom,0,6,0,0,0,2,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHSearchBuilder,0,52,0,0,0,10,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHRepositoryTraffic,0,18,0,0,0,8,0,4,0,4
GitHub API for Java,org.kohsuke.github,GHBranch,59,108,7,2,10,29,7,13,3,12
GitHub API for Java,org.kohsuke.github,GHUser,120,180,4,6,16,30,13,16,9,15
GitHub API for Java,org.kohsuke.github,GHThread.Subject,0,3,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHRepoHook,0,35,0,0,0,5,0,4,0,4
GitHub API for Java,org.kohsuke.github,GHCheckRun.Conclusion,0,105,0,0,0,4,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHCompare.InnerCommit,0,21,0,0,0,7,0,7,0,7
GitHub API for Java,org.kohsuke.github,GHDiscussion.Creator,0,23,0,0,0,4,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHPermission,6,11,0,0,2,2,2,2,2,2
GitHub API for Java,org.kohsuke.github,GHBranchProtection,6,81,0,0,2,10,2,8,2,8
GitHub API for Java,org.kohsuke.github,GHPersonSet,17,24,2,2,7,7,5,3,3,3
GitHub API for Java,org.kohsuke.github,RateLimitChecker.new RateLimitChecker() {...},0,3,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GitHub.DependentAuthorizationProvider,5,28,2,2,1,9,2,3,0,3
GitHub API for Java,org.kohsuke.github,GHPermissionType,0,44,0,0,0,2,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHEventPayload.WorkflowDispatch,0,13,0,0,0,4,0,4,0,4
GitHub API for Java,org.kohsuke.github,GHRepository.ForkSort,0,34,0,0,0,2,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHException,0,9,0,0,0,4,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHLabel.Setter,0,16,0,0,0,3,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHArtifactsIterable,0,32,0,0,0,7,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHEventPayload.Installation,12,35,3,5,3,10,3,4,0,3
GitHub API for Java,org.kohsuke.github,GHCommit.User,0,3,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHTree,5,64,1,5,2,11,2,8,1,6
GitHub API for Java,org.kohsuke.github,GHSubscription,0,46,0,0,0,12,0,10,0,10
GitHub API for Java,org.kohsuke.github,GHRepositoryCloneTraffic.DailyInfo,0,11,0,0,0,4,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHPullRequestReviewState,8,83,4,4,3,13,4,5,0,3
GitHub API for Java,org.kohsuke.github,GHMyself,178,63,8,0,31,14,12,8,8,8
GitHub API for Java,org.kohsuke.github,GHUserSearchBuilder,71,35,0,0,9,7,7,5,7,5
GitHub API for Java,org.kohsuke.github,GHArtifact,20,91,1,1,3,15,2,11,1,11
GitHub API for Java,org.kohsuke.github,GHCommitState,0,44,0,0,0,2,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHGistUpdater,0,128,0,0,0,24,0,11,0,11
GitHub API for Java,org.kohsuke.github,GHPullRequest.MergeMethod,0,34,0,0,0,2,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHThread,123,42,9,1,19,9,11,8,6,8
GitHub API for Java,org.kohsuke.github,GHReleaseUpdater,40,58,0,0,10,12,5,4,5,4
GitHub API for Java,org.kohsuke.github,GHEventPayload.Release,0,11,0,0,0,3,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHBlob,25,28,1,1,5,7,3,5,2,5
GitHub API for Java,org.kohsuke.github,GHDeploymentBuilder,40,77,0,0,10,20,5,7,5,7
GitHub API for Java,org.kohsuke.github,GHRepositoryStatistics.PunchCardItem,0,57,0,0,0,9,0,5,0,5
GitHub API for Java,org.kohsuke.github,GHMarketplaceListAccountBuilder,0,47,0,0,0,10,0,4,0,4
GitHub API for Java,org.kohsuke.github,GHWorkflowJobsIterable.new Iterator() {...},0,33,1,1,0,6,1,3,0,3
GitHub API for Java,org.kohsuke.github,GitHubRateLimitChecker,43,121,9,13,7,32,7,10,0,6
GitHub API for Java,org.kohsuke.github,GitHubRequest,23,262,2,20,6,50,4,26,2,17
GitHub API for Java,org.kohsuke.github,GitHub,226,943,5,35,31,156,19,81,15,65
GitHub API for Java,org.kohsuke.github,GHPullRequest,137,409,4,8,27,97,18,36,15,33
GitHub API for Java,org.kohsuke.github,ReactionContent,2,126,1,3,1,16,1,5,0,4
GitHub API for Java,org.kohsuke.github,GHPullRequestChanges,0,12,0,0,0,4,0,4,0,4
GitHub API for Java,org.kohsuke.github,GHRepositoryStatistics,20,107,7,1,7,23,4,9,0,9
GitHub API for Java,org.kohsuke.github,GitHubInteractiveObject,0,32,0,4,0,9,0,7,0,5
GitHub API for Java,org.kohsuke.github,GHRef,0,174,1,11,0,35,1,15,0,10
